"Region","Year","Number_of_Vehicles","Vehicle_Type"
"Stockholms län","2002",738471,"passenger cars"
"Stockholms län","2003",746671,"passenger cars"
"Stockholms län","2004",754266,"passenger cars"
"Stockholms län","2005",759096,"passenger cars"
"Stockholms län","2006",768957,"passenger cars"
"Stockholms län","2007",783417,"passenger cars"
"Stockholms län","2008",791070,"passenger cars"
"Stockholms län","2009",792583,"passenger cars"
"Stockholms län","2010",800534,"passenger cars"
"Stockholms län","2011",817554,"passenger cars"
"Stockholms län","2012",829469,"passenger cars"
"Stockholms län","2013",841954,"passenger cars"
"Stockholms län","2014",863946,"passenger cars"
"Stockholms län","2015",887057,"passenger cars"
"Stockholms län","2016",909434,"passenger cars"
"Stockholms län","2017",929570,"passenger cars"
"Stockholms län","2018",931771,"passenger cars"
"Stockholms län","2019",935865,"passenger cars"
"Stockholms län","2020",953391,"passenger cars"
"Stockholms län","2021",965686,"passenger cars"
"Stockholms län","2022",965722,"passenger cars"
"Stockholms län","2002",66816,"light lorries"
"Stockholms län","2003",71631,"light lorries"
"Stockholms län","2004",75762,"light lorries"
"Stockholms län","2005",80922,"light lorries"
"Stockholms län","2006",84384,"light lorries"
"Stockholms län","2007",90471,"light lorries"
"Stockholms län","2008",94852,"light lorries"
"Stockholms län","2009",95276,"light lorries"
"Stockholms län","2010",97722,"light lorries"
"Stockholms län","2011",102793,"light lorries"
"Stockholms län","2012",105105,"light lorries"
"Stockholms län","2013",106467,"light lorries"
"Stockholms län","2014",111396,"light lorries"
"Stockholms län","2015",111746,"light lorries"
"Stockholms län","2016",117247,"light lorries"
"Stockholms län","2017",126607,"light lorries"
"Stockholms län","2018",130619,"light lorries"
"Stockholms län","2019",132939,"light lorries"
"Stockholms län","2020",134486,"light lorries"
"Stockholms län","2021",136945,"light lorries"
"Stockholms län","2022",139793,"light lorries"
"Stockholms län","2002",12022,"heavy lorries"
"Stockholms län","2003",11956,"heavy lorries"
"Stockholms län","2004",11484,"heavy lorries"
"Stockholms län","2005",11547,"heavy lorries"
"Stockholms län","2006",12183,"heavy lorries"
"Stockholms län","2007",12588,"heavy lorries"
"Stockholms län","2008",12686,"heavy lorries"
"Stockholms län","2009",12128,"heavy lorries"
"Stockholms län","2010",12126,"heavy lorries"
"Stockholms län","2011",12411,"heavy lorries"
"Stockholms län","2012",12384,"heavy lorries"
"Stockholms län","2013",12313,"heavy lorries"
"Stockholms län","2014",12613,"heavy lorries"
"Stockholms län","2015",12699,"heavy lorries"
"Stockholms län","2016",13012,"heavy lorries"
"Stockholms län","2017",13885,"heavy lorries"
"Stockholms län","2018",14179,"heavy lorries"
"Stockholms län","2019",14165,"heavy lorries"
"Stockholms län","2020",13950,"heavy lorries"
"Stockholms län","2021",13931,"heavy lorries"
"Stockholms län","2022",14139,"heavy lorries"
"Stockholms län","2002",621,"towing vehicles"
"Stockholms län","2003",587,"towing vehicles"
"Stockholms län","2004",623,"towing vehicles"
"Stockholms län","2005",633,"towing vehicles"
"Stockholms län","2006",695,"towing vehicles"
"Stockholms län","2007",791,"towing vehicles"
"Stockholms län","2008",762,"towing vehicles"
"Stockholms län","2009",690,"towing vehicles"
"Stockholms län","2010",706,"towing vehicles"
"Stockholms län","2011",754,"towing vehicles"
"Stockholms län","2012",765,"towing vehicles"
"Stockholms län","2013",817,"towing vehicles"
"Stockholms län","2014",854,"towing vehicles"
"Stockholms län","2015",888,"towing vehicles"
"Stockholms län","2016",948,"towing vehicles"
"Stockholms län","2017",965,"towing vehicles"
"Stockholms län","2018",1031,"towing vehicles"
"Stockholms län","2019",1010,"towing vehicles"
"Stockholms län","2020",990,"towing vehicles"
