Ddate,Market,Product,Sales,Profit,Expenses
5/1/15,South,Caffe Mocha,231,67,54
2/1/15,Central,Decaf Irish Cream,319,136,85
7/1/14,Central,Darjeeling,251,133,59
5/1/14,East,Decaf Espresso,194,142,55
10/1/14,Central,Decaf Irish Cream,192,103,49
3/1/15,Central,Decaf Irish Cream,208,110,55
8/1/15,West,Decaf Espresso,60,26,11
4/1/14,South,Lemon,170,24,52
12/1/14,East,Decaf Irish Cream,315,190,142
8/1/14,Central,Decaf Espresso,71,21,19
5/1/14,Central,Decaf Irish Cream,71,16,33
9/1/15,West,Decaf Espresso,83,51,12
2/1/14,East,Chamomile,118,24,46
11/1/14,West,Caffe Latte,238,101,101
2/1/14,East,Regular Espresso,99,-21,39
11/1/14,East,Darjeeling,76,-7,43
12/1/14,West,Decaf Espresso,129,26,41
2/1/14,East,Decaf Irish Cream,220,152,58
2/1/15,Central,Decaf Irish Cream,226,123,74
5/1/15,South,Decaf Irish Cream,94,29,21
12/1/14,East,Decaf Irish Cream,287,214,45
3/1/14,East,Mint,168,51,46
11/1/14,East,Chamomile,173,33,62
11/1/15,South,Caffe Latte,82,39,20
7/1/14,South,Caffe Latte,224,94,67
12/1/14,West,Caffe Mocha,196,38,72
5/1/15,South,Decaf Irish Cream,206,67,41
7/1/14,West,Chamomile,534,158,134
8/1/15,West,Caffe Latte,65,28,14
5/1/15,West,Colombian,474,224,86
3/1/14,South,Decaf Irish Cream,188,33,63
8/1/14,Central,Chamomile,56,2,19
2/1/14,East,Darjeeling,67,22,23
2/1/14,West,Amaretto,195,53,62
7/1/14,West,Darjeeling,139,5,55
10/1/15,Central,Caffe Mocha,233,110,36
3/1/14,East,Mint,107,36,35
1/1/15,West,Darjeeling,470,178,85
1/1/15,West,Decaf Espresso,167,72,45
8/1/15,Central,Decaf Irish Cream,202,52,65
12/1/14,East,Mint,89,-6,61
1/1/14,East,Decaf Irish Cream,178,75,49
8/1/15,East,Decaf Irish Cream,250,51,67
6/1/15,Central,Lemon,438,117,121
1/1/14,South,Decaf Irish Cream,148,40,43
10/1/14,South,Decaf Irish Cream,311,165,144
2/1/15,Central,Chamomile,136,50,43
11/1/15,Central,Chamomile,80,48,25
