Ddate,Market,Product,Product Type,Sales,Profit,Expenses
9/1/13,Central,Decaf Irish Cream,Coffee,90,36,37
5/1/12,East,Decaf Espresso,Espresso,203,56,55
1/1/13,West,Caffe Latte,Espresso,524,136,93
8/1/12,West,Earl Grey,Tea,273,81,68
12/1/13,West,Amaretto,Coffee,201,-3,68
9/1/12,East,Lemon,Herbal Tea,171,26,73
9/1/13,Central,Caffe Mocha,Espresso,132,72,31
2/1/13,Central,Decaf Irish Cream,Coffee,225,160,56
10/1/12,South,Decaf Espresso,Espresso,108,37,42
9/1/13,Central,Decaf Irish Cream,Coffee,208,105,43
2/1/12,South,Caffe Latte,Espresso,117,46,22
5/1/12,East,Lemon,Herbal Tea,214,48,59
1/1/12,Central,Decaf Irish Cream,Coffee,316,163,64
1/1/12,South,Decaf Irish Cream,Coffee,112,66,24
2/1/13,South,Decaf Irish Cream,Coffee,130,68,43
9/1/12,East,Lemon,Herbal Tea,84,-8,72
1/1/12,East,Decaf Irish Cream,Coffee,252,87,81
8/1/12,South,Caffe Mocha,Espresso,49,23,17
10/1/13,Central,Lemon,Herbal Tea,67,18,17
7/1/13,Central,Decaf Irish Cream,Coffee,70,24,22
5/1/13,Central,Lemon,Herbal Tea,114,41,43
10/1/12,East,Mint,Herbal Tea,100,2,40
2/1/12,Central,Darjeeling,Tea,208,99,34
9/1/13,East,Lemon,Herbal Tea,227,112,50
2/1/13,South,Decaf Irish Cream,Coffee,96,27,39
10/1/12,West,Decaf Irish Cream,Coffee,114,16,51
2/1/13,South,Decaf Irish Cream,Coffee,82,36,23
7/1/12,West,Lemon,Herbal Tea,233,75,56
2/1/12,West,Decaf Irish Cream,Coffee,109,6,55
12/1/12,Central,Decaf Irish Cream,Coffee,111,13,37
12/1/12,Central,Decaf Irish Cream,Coffee,115,12,39
3/1/12,South,Chamomile,Herbal Tea,105,13,38
9/1/13,East,Decaf Espresso,Espresso,228,91,50
2/1/12,West,Lemon,Herbal Tea,289,113,121
10/1/12,West,Decaf Irish Cream,Coffee,134,33,58
3/1/12,East,Decaf Espresso,Espresso,207,30,50
9/1/13,Central,Lemon,Herbal Tea,224,103,34
8/1/12,West,Darjeeling,Tea,345,122,46
6/1/13,East,Decaf Irish Cream,Coffee,598,385,118
2/1/13,South,Decaf Espresso,Espresso,250,67,69
7/1/12,West,Decaf Irish Cream,Coffee,148,43,64
5/1/12,East,Darjeeling,Tea,101,16,24
1/1/12,East,Darjeeling,Tea,58,27,20
2/1/12,West,Decaf Espresso,Espresso,105,30,25
5/1/13,Central,Darjeeling,Tea,252,106,43
4/1/12,East,Decaf Irish Cream,Coffee,199,40,45
5/1/13,South,Decaf Irish Cream,Coffee,76,37,21
2/1/12,West,Darjeeling,Tea,199,59,50
8/1/13,South,Lemon,Herbal Tea,84,32,19
12/1/12,West,Caffe Mocha,Espresso,200,53,52
10/1/12,South,Decaf Irish Cream,Coffee,98,17,21
4/1/12,East,Decaf Espresso,Espresso,54,-4,26
5/1/13,West,Decaf Irish Cream,Coffee,164,46,48
1/1/12,East,Darjeeling,Tea,67,16,21
5/1/13,East,Chamomile,Herbal Tea,84,25,18
8/1/12,South,Decaf Espresso,Espresso,78,0,34
12/1/12,Central,Decaf Espresso,Espresso,185,38,42
4/1/13,West,Caffe Mocha,Espresso,198,61,45
8/1/13,Central,Decaf Irish Cream,Coffee,350,214,105
4/1/12,East,Green Tea,Tea,199,11,56
10/1/12,Central,Chamomile,Herbal Tea,50,0,24
3/1/12,Central,Decaf Espresso,Espresso,111,26,34
5/1/13,West,Lemon,Herbal Tea,123,31,43
8/1/12,South,Caffe Latte,Espresso,48,10,15
1/1/13,South,Caffe Mocha,Espresso,441,175,93
10/1/13,Central,Lemon,Herbal Tea,362,199,42
6/1/13,West,Caffe Latte,Espresso,467,235,90
9/1/12,South,Lemon,Herbal Tea,145,-4,54
1/1/13,East,Decaf Irish Cream,Coffee,342,113,57
2/1/12,West,Chamomile,Herbal Tea,130,49,27
9/1/12,South,Lemon,Herbal Tea,89,-5,37
12/1/13,South,Caffe Mocha,Espresso,204,72,63
11/1/13,Central,Chamomile,Herbal Tea,500,177,90
7/1/12,West,Decaf Irish Cream,Coffee,127,6,50
5/1/13,West,Colombian,Coffee,468,214,94
8/1/12,South,Lemon,Herbal Tea,82,8,22
11/1/12,Central,Darjeeling,Tea,58,29,32
4/1/12,West,Darjeeling,Tea,203,166,44
5/1/12,West,Amaretto,Coffee,115,1,55
3/1/13,South,Caffe Mocha,Espresso,144,52,27
5/1/12,Central,Amaretto,Coffee,166,32,40
2/1/12,West,Chamomile,Herbal Tea,285,127,50
10/1/12,East,Darjeeling,Tea,162,7,52
1/1/12,Central,Decaf Irish Cream,Coffee,191,93,42
10/1/12,West,Darjeeling,Tea,283,161,91
6/1/13,West,Darjeeling,Tea,108,29,36
4/1/12,West,Darjeeling,Tea,128,44,42
5/1/13,West,Chamomile,Herbal Tea,589,217,115
12/1/12,West,Caffe Mocha,Espresso,63,4,19
2/1/13,West,Decaf Irish Cream,Coffee,85,39,44
11/1/12,East,Decaf Espresso,Espresso,65,13,21
8/1/12,South,Caffe Mocha,Espresso,311,128,71
2/1/12,West,Caffe Mocha,Espresso,182,68,58
5/1/13,West,Chamomile,Herbal Tea,111,46,21
2/1/12,West,Darjeeling,Tea,198,91,41
2/1/12,West,Darjeeling,Tea,265,137,100
8/1/13,Central,Decaf Irish Cream,Coffee,65,5,20
10/1/13,Central,Decaf Irish Cream,Coffee,252,155,42
2/1/12,Central,Lemon,Herbal Tea,211,96,38
11/1/12,West,Caffe Mocha,Espresso,90,24,22
5/1/12,West,Decaf Espresso,Espresso,288,120,63
1/1/12,Central,Decaf Irish Cream,Coffee,105,19,41
1/1/13,West,Decaf Espresso,Espresso,500,130,87
10/1/12,South,Lemon,Herbal Tea,90,9,22
4/1/12,West,Caffe Mocha,Espresso,103,23,46
5/1/13,South,Decaf Irish Cream,Coffee,125,49,43
2/1/12,West,Mint,Herbal Tea,133,19,47
5/1/13,South,Lemon,Herbal Tea,51,41,19
1/1/12,East,Decaf Espresso,Espresso,74,49,23
2/1/12,Central,Darjeeling,Tea,255,143,74
6/1/13,East,Darjeeling,Tea,110,34,35
3/1/12,East,Darjeeling,Tea,110,40,36
10/1/12,Central,Darjeeling,Tea,112,48,38
7/1/12,South,Lemon,Herbal Tea,77,11,31
12/1/13,East,Decaf Espresso,Espresso,212,125,55
7/1/12,West,Decaf Irish Cream,Coffee,127,-2,71
5/1/13,West,Decaf Irish Cream,Coffee,52,44,15
1/1/12,East,Decaf Irish Cream,Coffee,297,145,112
6/1/13,Central,Caffe Mocha,Espresso,80,25,19
8/1/12,Central,Lemon,Herbal Tea,231,99,46
8/1/13,East,Darjeeling,Tea,53,9,15
8/1/12,East,Darjeeling,Tea,56,10,18
1/1/12,Central,Darjeeling,Tea,82,32,25
10/1/12,East,Darjeeling,Tea,104,15,20
11/1/12,East,Darjeeling,Tea,64,28,18
10/1/12,Central,Chamomile,Herbal Tea,146,13,50
2/1/12,Central,Chamomile,Herbal Tea,119,62,31
11/1/13,East,Caffe Mocha,Espresso,530,326,93
2/1/12,East,Decaf Espresso,Espresso,57,9,23
1/1/13,South,Decaf Irish Cream,Coffee,226,93,41
7/1/12,East,Mint,Herbal Tea,174,24,47
5/1/13,East,Decaf Irish Cream,Coffee,185,-56,49
6/1/12,West,Decaf Irish Cream,Coffee,106,46,50
4/1/12,East,Darjeeling,Tea,185,55,46
1/1/13,West,Decaf Espresso,Espresso,120,63,41
5/1/13,East,Colombian,Coffee,592,299,125
7/1/12,East,Chamomile,Herbal Tea,108,12,31
2/1/12,West,Chamomile,Herbal Tea,305,137,88
2/1/12,West,Chamomile,Herbal Tea,312,122,41
8/1/12,South,Lemon,Herbal Tea,73,22,19
8/1/13,Central,Decaf Irish Cream,Coffee,331,135,41
6/1/13,Central,Caffe Mocha,Espresso,296,135,37
3/1/13,West,Darjeeling,Tea,215,92,37
2/1/12,East,Darjeeling,Tea,39,26,20
8/1/12,Central,Caffe Mocha,Espresso,57,11,19
5/1/13,Central,Decaf Irish Cream,Coffee,161,64,47
2/1/13,South,Decaf Irish Cream,Coffee,91,5,31
10/1/12,Central,Darjeeling,Tea,178,80,42
5/1/13,South,Lemon,Herbal Tea,56,43,20
6/1/12,West,Decaf Irish Cream,Coffee,132,61,50
5/1/13,West,Mint,Herbal Tea,109,-7,71
8/1/12,West,Mint,Herbal Tea,291,82,66
2/1/12,East,Darjeeling,Tea,57,30,20
8/1/13,West,Chamomile,Herbal Tea,108,17,24
9/1/13,East,Decaf Irish Cream,Coffee,233,51,57
9/1/13,Central,Chamomile,Herbal Tea,139,48,37
5/1/12,West,Decaf Espresso,Espresso,96,25,22
8/1/12,West,Chamomile,Herbal Tea,322,143,148
12/1/13,West,Decaf Espresso,Espresso,77,32,34
9/1/13,South,Chamomile,Herbal Tea,224,58,45
9/1/13,West,Decaf Irish Cream,Coffee,130,46,39
9/1/13,Central,Darjeeling,Tea,81,42,33
8/1/12,West,Caffe Mocha,Espresso,516,105,108
10/1/12,West,Darjeeling,Tea,240,101,81
5/1/13,East,Lemon,Herbal Tea,167,62,48
4/1/12,West,Caffe Mocha,Espresso,111,19,34
4/1/13,South,Decaf Espresso,Espresso,119,59,39
10/1/12,East,Chamomile,Herbal Tea,62,3,24
4/1/12,West,Caffe Mocha,Espresso,146,22,51
10/1/12,South,Decaf Irish Cream,Coffee,213,97,57
8/1/12,Central,Lemon,Herbal Tea,76,23,41
5/1/13,West,Chamomile,Herbal Tea,510,216,111
1/1/13,West,Lemon,Herbal Tea,234,75,54
12/1/13,South,Lemon,Herbal Tea,59,34,25
8/1/12,South,Caffe Latte,Espresso,309,83,62
1/1/13,West,Lemon,Herbal Tea,296,47,100
8/1/13,East,Decaf Irish Cream,Coffee,333,85,72
12/1/13,South,Caffe Mocha,Espresso,324,162,86
12/1/12,Central,Decaf Irish Cream,Coffee,102,9,41
10/1/12,East,Decaf Espresso,Espresso,141,28,43
9/1/12,South,Decaf Irish Cream,Coffee,77,-16,72
2/1/12,East,Mint,Herbal Tea,250,80,51
12/1/12,Central,Decaf Irish Cream,Coffee,163,65,47
9/1/13,East,Mint,Herbal Tea,100,31,47
10/1/12,East,Darjeeling,Tea,83,-5,38
7/1/12,Central,Decaf Irish Cream,Coffee,217,74,66
5/1/12,West,Decaf Irish Cream,Coffee,119,15,51
1/1/13,Central,Lemon,Herbal Tea,531,155,118
5/1/12,West,Decaf Irish Cream,Coffee,93,27,52
5/1/12,Central,Mint,Herbal Tea,172,23,38
2/1/12,South,Chamomile,Herbal Tea,209,86,74
2/1/12,West,Chamomile,Herbal Tea,111,19,22
1/1/12,West,Decaf Irish Cream,Coffee,80,41,52
9/1/13,West,Decaf Irish Cream,Coffee,220,53,44
10/1/13,South,Colombian,Coffee,588,221,119
2/1/12,Central,Decaf Irish Cream,Coffee,200,62,47
1/1/13,South,Decaf Irish Cream,Coffee,190,74,46
6/1/13,East,Decaf Irish Cream,Coffee,448,232,131
4/1/13,Central,Decaf Irish Cream,Coffee,216,161,62
2/1/12,Central,Darjeeling,Tea,115,28,44
5/1/13,East,Colombian,Coffee,508,272,98
2/1/12,West,Mint,Herbal Tea,187,2,91
12/1/13,Central,Mint,Herbal Tea,221,68,37
3/1/13,Central,Decaf Irish Cream,Coffee,230,107,43
5/1/13,Central,Decaf Irish Cream,Coffee,122,41,35
2/1/12,West,Darjeeling,Tea,168,93,39
1/1/12,West,Decaf Irish Cream,Coffee,122,15,52
1/1/13,East,Decaf Espresso,Espresso,63,40,16
5/1/13,Central,Mint,Herbal Tea,100,-8,44
8/1/12,West,Decaf Irish Cream,Coffee,125,24,69
1/1/13,West,Decaf Espresso,Espresso,104,46,58
1/1/12,East,Decaf Irish Cream,Coffee,107,9,49
6/1/13,West,Chamomile,Herbal Tea,437,233,88
2/1/12,West,Decaf Espresso,Espresso,61,25,24
2/1/13,South,Chamomile,Herbal Tea,147,53,42
10/1/12,South,Decaf Irish Cream,Coffee,107,26,23
4/1/13,Central,Mint,Herbal Tea,226,110,39
8/1/12,West,Caffe Mocha,Espresso,281,27,146
2/1/12,Central,Decaf Irish Cream,Coffee,281,101,41
7/1/13,Central,Chamomile,Herbal Tea,60,30,19
3/1/12,East,Chamomile,Herbal Tea,99,28,34
5/1/13,Central,Decaf Irish Cream,Coffee,94,36,22
1/1/12,East,Darjeeling,Tea,116,37,42
8/1/12,South,Decaf Irish Cream,Coffee,204,42,57
10/1/12,Central,Caffe Mocha,Espresso,125,-16,61
5/1/13,Central,Caffe Mocha,Espresso,203,87,50
9/1/12,West,Decaf Irish Cream,Coffee,221,7,120
6/1/13,Central,Lemon,Herbal Tea,129,48,33
