Ddate,Sales,Profit,Expenses
2013-09-01,90,36,37
2012-05-01,203,56,55
2013-01-01,524,136,93
2012-08-01,273,81,68
2013-12-01,201,-3,68
2012-09-01,171,26,73
2013-09-01,132,72,31
2013-02-01,225,160,56
2012-10-01,108,37,42
2013-09-01,208,105,43
2012-02-01,117,46,22
2012-05-01,214,48,59
2012-01-01,316,163,64
2012-01-01,112,66,24
2013-02-01,130,68,43
2012-09-01,84,-8,72
2012-01-01,252,87,81
2012-08-01,49,23,17
2013-10-01,67,18,17
2013-07-01,70,24,22
2013-05-01,114,41,43
2012-10-01,100,2,40
2012-02-01,208,99,34
2013-09-01,227,112,50
2013-02-01,96,27,39
2012-10-01,114,16,51
2013-02-01,82,36,23
2012-07-01,233,75,56
2012-02-01,109,6,55
2012-12-01,111,13,37
2012-12-01,115,12,39
2012-03-01,105,13,38
2013-09-01,228,91,50
2012-02-01,289,113,121
2012-10-01,134,33,58
2012-03-01,207,30,50
2013-09-01,224,103,34
2012-08-01,345,122,46
2013-06-01,598,385,118
2013-02-01,250,67,69
2012-07-01,148,43,64
2012-05-01,101,16,24
2012-01-01,58,27,20
2012-02-01,105,30,25
2013-05-01,252,106,43
2012-04-01,199,40,45
2013-05-01,76,37,21
2012-02-01,199,59,50
2013-08-01,84,32,19
2012-12-01,200,53,52
2012-10-01,98,17,21
2012-04-01,54,-4,26
2013-05-01,164,46,48
2012-01-01,67,16,21
2013-05-01,84,25,18
2012-08-01,78,0,34
2012-12-01,185,38,42
2013-04-01,198,61,45
2013-08-01,350,214,105
2012-04-01,199,11,56
2012-10-01,50,0,24
2012-03-01,111,26,34
2013-05-01,123,31,43
2012-08-01,48,10,15
2013-01-01,441,175,93
2013-10-01,362,199,42
2013-06-01,467,235,90
2012-09-01,145,-4,54
2013-01-01,342,113,57
2012-02-01,130,49,27
2012-09-01,89,-5,37
2013-12-01,204,72,63
2013-11-01,500,177,90
2012-07-01,127,6,50
2013-05-01,468,214,94
2012-08-01,82,8,22
2012-11-01,58,29,32
2012-04-01,203,166,44
2012-05-01,115,1,55
2013-03-01,144,52,27
2012-05-01,166,32,40
2012-02-01,285,127,50
2012-10-01,162,7,52
2012-01-01,191,93,42
2012-10-01,283,161,91
2013-06-01,108,29,36
2012-04-01,128,44,42
2013-05-01,589,217,115
2012-12-01,63,4,19
2013-02-01,85,39,44
2012-11-01,65,13,21
2012-08-01,311,128,71
2012-02-01,182,68,58
2013-05-01,111,46,21
2012-02-01,198,91,41
2012-02-01,265,137,100
2013-08-01,65,5,20
2013-10-01,252,155,42
2012-02-01,211,96,38
2012-11-01,90,24,22
2012-05-01,288,120,63
2012-01-01,105,19,41
2013-01-01,500,130,87
2012-10-01,90,9,22
2012-04-01,103,23,46
2013-05-01,125,49,43
2012-02-01,133,19,47
2013-05-01,51,41,19
2012-01-01,74,49,23
2012-02-01,255,143,74
2013-06-01,110,34,35
2012-03-01,110,40,36
2012-10-01,112,48,38
2012-07-01,77,11,31
2013-12-01,212,125,55
2012-07-01,127,-2,71
2013-05-01,52,44,15
2012-01-01,297,145,112
